timestamp,server,model_id,quant_4bit,use_cpu,max_image_edge,max_new_tokens,files,http_ms,model_latency_ms,peak_vram_mb,answer_chars,status
2025-08-31T14:36:21,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,128,ui-chat.png,8195,8133,,282,200
2025-08-31T14:36:26,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,128,ui-chat.png,5160,5052,,189,200
2025-08-31T14:36:31,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,128,ui-chat.png,5267,5245,,189,200
2025-08-31T14:36:36,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,256,ui-chat.png,4779,4756,,189,200
2025-08-31T14:36:41,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,256,ui-chat.png,4685,4655,,189,200
2025-08-31T14:36:45,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,256,ui-chat.png,4617,4599,,189,200
2025-08-31T14:36:50,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,384,ui-chat.png,4810,4803,,189,200
2025-08-31T14:36:55,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,384,ui-chat.png,4945,4926,,189,200
2025-08-31T14:37:00,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,384,ui-chat.png,4797,4776,,189,200
2025-08-31T14:37:05,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,512,ui-chat.png,4605,4599,,189,200
2025-08-31T14:37:09,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,512,ui-chat.png,4708,4679,,189,200
2025-08-31T14:37:14,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,640,512,ui-chat.png,4810,4787,,189,200
2025-08-31T14:37:15,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,128,ui-chat.png,799,,,459,500
2025-08-31T14:37:16,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,128,ui-chat.png,1145,,,459,500
2025-08-31T14:37:17,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,128,ui-chat.png,828,,,459,500
2025-08-31T14:37:18,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,256,ui-chat.png,903,,,459,500
2025-08-31T14:37:19,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,256,ui-chat.png,784,,,459,500
2025-08-31T14:37:20,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,256,ui-chat.png,1328,,,459,500
2025-08-31T14:37:21,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,384,ui-chat.png,803,,,459,500
2025-08-31T14:37:22,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,384,ui-chat.png,821,,,459,500
2025-08-31T14:37:23,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,384,ui-chat.png,1226,,,459,500
2025-08-31T14:37:24,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,512,ui-chat.png,973,,,459,500
2025-08-31T14:37:25,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,512,ui-chat.png,823,,,459,500
2025-08-31T14:37:25,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,768,512,ui-chat.png,799,,,459,500
2025-08-31T14:37:26,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,128,ui-chat.png,849,,,459,500
2025-08-31T14:37:27,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,128,ui-chat.png,930,,,459,500
2025-08-31T14:37:28,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,128,ui-chat.png,816,,,459,500
2025-08-31T14:37:29,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,256,ui-chat.png,803,,,459,500
2025-08-31T14:37:30,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,256,ui-chat.png,795,,,459,500
2025-08-31T14:37:30,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,256,ui-chat.png,812,,,459,500
2025-08-31T14:37:31,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,384,ui-chat.png,889,,,459,500
2025-08-31T14:37:32,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,384,ui-chat.png,768,,,459,500
2025-08-31T14:37:33,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,384,ui-chat.png,790,,,459,500
2025-08-31T14:37:34,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,512,ui-chat.png,775,,,459,500
2025-08-31T14:37:35,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,512,ui-chat.png,906,,,459,500
2025-08-31T14:37:35,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,896,512,ui-chat.png,812,,,459,500
2025-08-31T14:37:39,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,128,ui-chat.png,3988,3955,,189,200
2025-08-31T14:37:43,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,128,ui-chat.png,3856,3833,,189,200
2025-08-31T14:37:47,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,128,ui-chat.png,3809,3803,,189,200
2025-08-31T14:37:51,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,256,ui-chat.png,3984,3954,,189,200
2025-08-31T14:37:55,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,256,ui-chat.png,4187,4162,,189,200
2025-08-31T14:37:59,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,256,ui-chat.png,4174,4164,,189,200
2025-08-31T14:38:03,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,384,ui-chat.png,3876,3867,,189,200
2025-08-31T14:38:07,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,384,ui-chat.png,3876,3854,,189,200
2025-08-31T14:38:11,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,384,ui-chat.png,3902,3877,,189,200
2025-08-31T14:38:15,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,512,ui-chat.png,3815,3789,,189,200
2025-08-31T14:38:19,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,512,ui-chat.png,3890,3883,,189,200
2025-08-31T14:38:23,http://127.0.0.1:8000,Qwen/Qwen2-VL-2B-Instruct,True,False,1024,512,ui-chat.png,4152,4132,,189,200
